PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsErr,RelErr,TaskPerf
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,none,25,clock,0.000015,19,0.000138,0.000123,89.2,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,none,25,clock,0.000023,20,0.000138,0.000115,83.4,1086956.52
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000055,1,0.000069,0.000014,19.9,454545.45
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000020,2,0.000069,0.000049,70.9,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000020,3,0.000069,0.000049,70.9,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000021,4,0.000069,0.000048,69.4,1190476.19
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000020,5,0.000069,0.000049,70.9,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000021,6,0.000069,0.000048,69.4,1190476.19
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000019,7,0.000069,0.000050,72.3,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000020,8,0.000069,0.000049,70.9,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000019,9,0.000069,0.000050,72.3,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000019,10,0.000069,0.000050,72.3,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000065,11,0.000069,0.000004,5.3,384615.38
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000024,12,0.000069,0.000045,65.0,1041666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000021,13,0.000069,0.000048,69.4,1190476.19
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000018,14,0.000069,0.000051,73.8,1388888.89
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000019,15,0.000069,0.000050,72.3,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000021,16,0.000069,0.000048,69.4,1190476.19
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000021,17,0.000069,0.000048,69.4,1190476.19
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000023,18,0.000069,0.000046,66.5,1086956.52
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000549,19,0.000069,0.000480,699.7,45537.34
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,none,25,clock,0.000378,20,0.000069,0.000309,450.6,66137.57
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000102,1,0.000256,0.000154,60.1,245098.04
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000015,2,0.000256,0.000241,94.1,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000020,3,0.000256,0.000236,92.2,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000016,4,0.000256,0.000240,93.7,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000016,5,0.000256,0.000240,93.7,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000021,6,0.000256,0.000235,91.8,1190476.19
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000143,7,0.000256,0.000113,44.1,174825.17
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000018,8,0.000256,0.000238,93.0,1388888.89
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000017,9,0.000256,0.000239,93.4,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000020,10,0.000256,0.000236,92.2,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000018,11,0.000256,0.000238,93.0,1388888.89
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000015,12,0.000256,0.000241,94.1,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000017,13,0.000256,0.000239,93.4,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000020,14,0.000256,0.000236,92.2,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000016,15,0.000256,0.000240,93.7,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000019,16,0.000256,0.000237,92.6,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000016,17,0.000256,0.000240,93.7,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000018,18,0.000256,0.000238,93.0,1388888.89
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.000015,19,0.000256,0.000241,94.1,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O1,25,clock,0.004574,20,0.000256,0.004318,1688.1,5465.68
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000021,1,0.000094,0.000073,77.7,1190476.19
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000017,2,0.000094,0.000077,81.9,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000015,3,0.000094,0.000079,84.1,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000015,4,0.000094,0.000079,84.1,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000016,5,0.000094,0.000078,83.0,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.001555,6,0.000094,0.001461,1551.6,16077.17
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000017,7,0.000094,0.000077,81.9,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000017,8,0.000094,0.000077,81.9,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000017,9,0.000094,0.000077,81.9,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000020,10,0.000094,0.000074,78.8,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000020,11,0.000094,0.000074,78.8,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000012,12,0.000094,0.000082,87.3,2083333.33
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000014,13,0.000094,0.000080,85.1,1785714.29
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000017,14,0.000094,0.000077,81.9,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000023,15,0.000094,0.000071,75.6,1086956.52
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000020,16,0.000094,0.000074,78.8,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000013,17,0.000094,0.000081,86.2,1923076.92
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000015,18,0.000094,0.000079,84.1,1666666.67
